DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
bcd_to_gray,6.199,3.525,2.674,1.537,0.135,0.029,0.007,1.5,1.672,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
bidir_pin,4.851,3.272,1.579,0.197,0.131,0.009,0.0,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_adder_tree,4.654,2.75,1.904,4.529,0.146,0.133,0.009,4.377,4.675,0.0,0.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
fsm_1100,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gray_count,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
mod_demod,5.854,3.302,2.552,7.791,0.16,0.127,0.0,7.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
param_adder,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.165,3.811,3.354,1.112,0.134,0.082,0.067,0.96,1.246,0.0,0.0,12.0,12.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0
param_counter,4.429,2.859,1.57,4.013,0.144,0.103,0.099,3.8,4.157,0.0,0.0,8.0,8.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0
param_divider,27.894,11.066,16.828,11.312,0.182,1.173,1.093,8.867,11.493,0.0,0.0,120.0,120.0,0.0,37.0,31.0,8.0,39.0,20.0,0.0
param_multiplier,11.38,5.521,5.858,14.312,0.205,0.565,0.416,13.272,14.518,0.0,0.0,60.0,60.0,0.0,24.0,6.0,25.0,6.0,26.0,0.0
param_shift_reg,4.394,2.721,1.674,3.052,0.14,0.116,0.025,2.899,3.192,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_infer,4.453,2.752,1.701,1.986,0.137,0.06,0.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_separate_io,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,8.043,3.798,4.245,3.6,0.142,0.228,0.0,3.304,0.0,16.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,5.775,3.417,2.358,0.991,0.134,0.021,0.004,0.966,1.124,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,6.899,4.491,2.408,15.927,0.221,0.45,0.0,15.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uart_module,6.448,3.078,3.37,0.167,0.131,0.097,0.028,0.008,0.298,0.0,0.0,11.0,11.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0
