DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
behav_counter,4.559,2.875,1.684,4.254,0.145,0.122,0.056,4.065,4.398,0.0,0.0,9.0,9.0,1.0,0.0,2.0,2.0,3.0,3.0,0.0
bidir_pin,5.755,3.42,2.335,0.258,0.131,0.012,0.001,0.245,0.39,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
fft_module,4.642,2.747,1.895,4.029,0.144,0.132,0.0,3.887,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fibonacci_gen,4.42,2.709,1.711,3.255,0.141,0.109,0.047,3.089,3.395,0.0,0.0,12.0,12.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0
fsm_1100,4.274,2.868,1.405,0.066,0.131,0.023,0.012,0.025,0.197,0.0,0.0,4.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.378,2.889,1.489,1.703,0.136,0.045,0.023,1.627,1.838,0.0,0.0,7.0,7.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0
mod_demod,7.607,1.007,6.6,10.888,0.179,0.3,0.044,10.522,11.067,0.0,0.0,17.0,17.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0
param_adder,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.843,3.875,3.968,1.102,0.134,0.082,0.051,0.967,1.235,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0
param_counter,4.399,2.87,1.528,2.864,0.139,0.067,0.046,2.742,3.003,0.0,0.0,8.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
param_divider,6.163,3.374,2.789,2.627,0.139,0.049,0.003,2.574,2.765,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_shift_reg,4.394,2.721,1.674,3.052,0.14,0.116,0.025,2.899,3.192,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_infer,4.632,2.895,1.737,2.128,0.137,0.113,0.0,1.976,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_separate_io,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,4.453,2.752,1.701,1.986,0.137,0.06,0.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reg_file_32bit,8.312,0.927,7.384,63.529,1.675,2.261,0.0,60.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.408,3.572,2.836,2.61,0.139,0.051,0.024,2.536,2.749,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
true_dpram_sclk,6.93,4.491,2.439,15.963,0.221,0.479,0.0,15.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
