DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
bcd_to_gray,5.973,3.559,2.413,1.535,0.135,0.028,0.006,1.5,1.67,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
behav_counter,4.427,2.777,1.651,3.225,0.141,0.105,0.049,3.061,3.365,0.0,0.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0
bidir_pin,5.422,3.374,2.047,0.375,0.132,0.01,0.0,0.364,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
digital_filter,6.591,2.289,4.301,16.923,0.231,1.036,0.372,15.393,17.154,0.0,0.0,32.0,32.0,0.0,17.0,14.0,14.0,0.0,1.0,0.0
fsm_1100,4.81,2.869,1.94,0.217,0.131,0.026,0.027,0.155,0.348,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
full_adder,5.906,3.514,2.392,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.82,4.058,3.761,1.074,0.134,0.073,0.04,0.961,1.208,0.0,0.0,8.0,8.0,0.0,2.0,0.0,8.0,0.0,3.0,0.0
param_counter,4.373,2.871,1.502,2.734,0.139,0.063,0.04,2.623,2.873,0.0,0.0,7.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
param_divider,7.57,4.196,3.374,6.328,0.153,0.157,0.02,6.14,6.481,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
param_shift_reg,4.394,2.721,1.674,3.052,0.14,0.116,0.025,2.899,3.192,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
ram_infer,4.298,2.755,1.542,0.196,0.131,0.07,0.03,0.09,0.327,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0
ram_separate_io,8.043,3.798,4.245,3.6,0.142,0.228,0.0,3.304,0.0,16.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,8.043,3.798,4.245,3.6,0.142,0.228,0.0,3.304,0.0,16.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,5.726,3.377,2.35,0.495,0.132,0.01,0.002,0.483,0.627,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
single_port_ram,4.387,2.809,1.578,2.067,0.137,0.098,0.0,1.956,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,6.899,4.491,2.408,15.927,0.221,0.45,0.0,15.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uart_module,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
