DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
bidir_pin,5.755,3.42,2.335,0.201,0.131,0.011,0.001,0.188,0.332,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_adder_tree,10.347,3.101,7.246,17.972,0.243,2.351,0.382,15.161,18.215,0.0,0.0,32.0,32.0,0.0,0.0,30.0,28.0,0.0,2.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
digital_filter,4.758,2.708,2.051,16.073,0.222,0.499,0.217,15.256,16.295,0.0,0.0,32.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
fft_module,4.494,2.773,1.721,4.245,0.144,0.129,0.0,4.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fsm_1100,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_adder,5.906,3.514,2.392,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.294,2.763,1.532,1.946,0.136,0.05,0.0,1.885,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
mod_demod,4.657,2.763,1.894,4.004,0.144,0.126,0.0,3.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.165,3.811,3.354,1.112,0.134,0.082,0.067,0.96,1.246,0.0,0.0,12.0,12.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0
param_counter,4.399,2.87,1.528,2.864,0.139,0.067,0.046,2.742,3.003,0.0,0.0,8.0,8.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
param_divider,13.756,6.147,7.609,13.233,0.196,0.686,0.528,11.951,13.429,0.0,0.0,84.0,84.0,5.0,34.0,1.0,17.0,5.0,41.0,0.0
param_multiplier,11.62,5.08,6.54,13.429,0.198,0.645,0.44,12.296,13.627,0.0,0.0,70.0,70.0,0.0,25.0,3.0,21.0,3.0,37.0,0.0
param_shift_reg,4.394,2.721,1.674,3.052,0.14,0.116,0.025,2.899,3.192,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_dual,4.618,2.853,1.764,2.275,0.138,0.109,0.036,2.122,2.412,0.0,0.0,6.0,6.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
ram_separate_io,4.453,2.752,1.701,1.986,0.137,0.06,0.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,4.453,2.752,1.701,1.986,0.137,0.06,0.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.408,3.572,2.836,2.606,0.139,0.05,0.023,2.533,2.745,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
single_port_ram,4.516,2.809,1.706,2.083,0.137,0.102,0.0,1.96,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,4.436,2.725,1.71,2.098,0.137,0.115,0.009,1.966,2.235,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
