DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
bcd_to_gray,6.199,3.525,2.674,1.537,0.135,0.029,0.007,1.5,1.672,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
behav_counter,4.427,2.777,1.651,3.225,0.141,0.105,0.049,3.061,3.365,0.0,0.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0
bidir_pin,4.862,3.282,1.58,0.483,0.132,0.004,0.0,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binary_adder_tree,6.295,1.697,4.598,15.488,0.216,0.823,0.124,14.456,15.704,0.0,0.0,32.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
digital_filter,4.698,2.761,1.937,15.996,0.221,0.608,0.266,15.05,16.217,0.0,0.0,17.0,17.0,1.0,1.0,14.0,14.0,0.0,1.0,0.0
fibonacci_gen,4.374,2.754,1.62,7.843,0.161,0.286,0.078,7.434,8.004,0.0,0.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
fsm_1100,4.143,2.764,1.379,0.045,0.122,0.017,0.013,0.008,0.166,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
full_adder,5.906,3.514,2.392,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.388,2.86,1.528,2.747,0.139,0.067,0.046,2.625,2.886,0.0,0.0,8.0,8.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
mod_demod,5.854,3.302,2.552,7.791,0.16,0.127,0.0,7.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
param_adder,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.165,3.811,3.354,1.112,0.134,0.082,0.067,0.96,1.246,0.0,0.0,12.0,12.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0
param_counter,4.429,2.859,1.57,4.013,0.144,0.103,0.099,3.8,4.157,0.0,0.0,8.0,8.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0
param_divider,11.243,5.362,5.88,14.318,0.205,0.571,0.416,13.272,14.524,0.0,0.0,60.0,60.0,0.0,24.0,6.0,25.0,6.0,26.0,0.0
param_multiplier,11.38,5.521,5.858,14.312,0.205,0.565,0.416,13.272,14.518,0.0,0.0,60.0,60.0,0.0,24.0,6.0,25.0,6.0,26.0,0.0
param_shift_reg,4.394,2.721,1.674,3.052,0.14,0.116,0.025,2.899,3.192,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_infer,6.633,3.567,3.066,2.125,0.137,0.111,0.0,1.976,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_separate_io,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,5.775,3.417,2.358,0.991,0.134,0.021,0.004,0.966,1.124,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
ternary_adder_tree,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,6.93,4.491,2.439,15.963,0.221,0.479,0.0,15.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uart_module,6.477,3.458,3.019,0.397,0.132,0.083,0.014,0.278,0.529,0.0,0.0,8.0,8.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0
