DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
behav_counter,4.427,2.777,1.651,3.225,0.141,0.105,0.049,3.061,3.365,0.0,0.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0
binary_adder_tree,8.769,1.634,7.135,18.24,0.246,2.445,0.332,15.281,18.486,0.0,0.0,64.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
fsm_1100,4.143,2.764,1.379,0.052,0.122,0.019,0.017,0.008,0.174,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_counter,4.373,2.871,1.502,2.734,0.139,0.063,0.04,2.623,2.873,0.0,0.0,7.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
param_shift_reg,4.41,2.827,1.583,3.246,0.141,0.125,0.026,3.084,3.387,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.392,4.22,3.172,5.805,0.151,0.153,0.046,5.595,5.956,0.0,0.0,12.0,12.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0
ram_dual,4.367,2.75,1.617,2.162,0.137,0.136,0.0,1.98,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,4.632,2.895,1.737,2.128,0.137,0.113,0.0,1.976,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.41,3.572,2.838,2.39,0.138,0.047,0.021,2.322,2.528,0.0,0.0,4.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
single_port_ram,4.387,2.809,1.578,2.067,0.137,0.098,0.0,1.956,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
