DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
alu_4bit,7.507,3.827,3.68,2.687,0.139,0.11,0.05,2.524,2.825,2.0,0.0,15.0,15.0,0.0,1.0,1.0,3.0,3.0,7.0,0.0
bcd_to_gray,5.939,3.557,2.381,0.708,0.133,0.014,0.004,0.691,0.841,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
behav_counter,4.427,2.777,1.651,3.225,0.141,0.105,0.049,3.061,3.365,0.0,0.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0
binary_adder_tree,10.347,3.101,7.246,17.972,0.243,2.351,0.382,15.161,18.215,0.0,0.0,32.0,32.0,0.0,0.0,30.0,28.0,0.0,2.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_multiplier,10.568,4.884,5.684,12.15,0.188,0.339,0.186,11.601,12.338,0.0,0.0,33.0,33.0,0.0,12.0,2.0,7.0,2.0,16.0,0.0
param_shift_reg,4.407,2.861,1.546,3.378,0.141,0.13,0.028,3.207,3.519,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.831,3.906,3.925,5.699,0.15,0.153,0.051,5.484,5.849,0.0,0.0,13.0,13.0,0.0,8.0,1.0,8.0,0.0,0.0,0.0
ram_simple,6.49,4.485,2.005,4.084,0.144,0.141,0.0,3.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.185,3.552,2.633,2.086,0.137,0.037,0.015,2.033,2.222,0.0,0.0,3.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
true_dpram_sclk,11.385,3.749,7.636,8.902,0.166,2.345,2.127,4.346,9.068,0.0,0.0,519.0,519.0,2.0,5.0,12.0,0.0,86.0,447.0,0.0
