DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
alu_4bit,7.647,3.65,3.997,2.116,0.137,0.086,0.038,1.992,2.253,0.0,0.0,9.0,9.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
binary_adder_tree,8.667,1.696,6.97,18.475,0.249,2.781,0.356,15.201,18.723,0.0,0.0,48.0,48.0,0.0,32.0,15.0,14.0,0.0,1.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
fft_module,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fibonacci_gen,4.615,1.799,2.816,7.896,0.161,0.267,0.13,7.462,8.057,0.0,0.0,18.0,18.0,0.0,1.0,0.0,1.0,7.0,9.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_adder,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.172,3.435,3.737,0.471,0.132,0.076,0.039,0.354,0.603,0.0,0.0,8.0,8.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0
param_shift_reg,4.407,2.861,1.546,3.378,0.141,0.13,0.028,3.207,3.519,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_dual,4.388,2.763,1.626,2.19,0.137,0.162,0.0,1.988,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,4.592,2.827,1.765,2.163,0.137,0.145,0.0,1.984,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,8.043,3.798,4.245,3.6,0.142,0.228,0.0,3.304,0.0,16.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.41,3.572,2.838,2.564,0.138,0.05,0.024,2.49,2.702,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
single_port_ram,4.516,2.809,1.706,2.083,0.137,0.102,0.0,1.96,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ternary_adder_tree,9.631,1.941,7.69,17.582,0.238,1.963,0.347,15.161,17.821,0.0,0.0,32.0,32.0,0.0,0.0,30.0,28.0,0.0,2.0,0.0
true_dpram_sclk,11.988,1.625,10.363,19.392,0.261,4.606,3.931,10.518,19.653,128.0,0.0,936.0,936.0,0.0,0.0,0.0,0.0,8.0,928.0,0.0
uart_module,4.433,2.721,1.712,2.068,0.137,0.304,0.149,1.566,2.205,0.0,0.0,33.0,33.0,1.0,2.0,4.0,16.0,5.0,9.0,0.0
