DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
behav_counter,4.427,2.777,1.651,3.225,0.141,0.105,0.049,3.061,3.365,0.0,0.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0
binary_adder_tree,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
fsm_1100,4.156,2.764,1.392,0.216,0.131,0.02,0.003,0.186,0.347,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_counter,4.373,2.871,1.502,2.734,0.139,0.063,0.04,2.623,2.873,0.0,0.0,7.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
param_shift_reg,4.394,2.721,1.674,3.052,0.14,0.116,0.025,2.899,3.192,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
ram_dual,4.367,2.75,1.617,2.162,0.137,0.136,0.0,1.98,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,4.522,2.721,1.801,1.889,0.136,0.11,0.068,1.704,2.025,0.0,0.0,17.0,17.0,0.0,8.0,0.0,0.0,5.0,10.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_port_ram,4.387,2.809,1.578,2.067,0.137,0.098,0.0,1.956,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,10.732,3.822,6.91,13.917,0.202,2.273,1.862,9.643,14.119,60.0,0.0,464.0,464.0,0.0,0.0,13.0,0.0,246.0,228.0,0.0
