DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
counter,4.459,2.886,1.573,3.897,0.143,0.075,0.06,3.752,4.04,0.0,0.0,7.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.328,2.889,1.439,3.912,0.143,0.085,0.065,3.752,4.055,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
mod_demod,5.009,2.708,2.301,7.901,0.161,0.218,0.0,7.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
param_shift_reg,4.405,2.858,1.547,3.247,0.141,0.126,0.025,3.084,3.388,0.0,0.0,5.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.392,4.22,3.172,5.805,0.151,0.153,0.046,5.595,5.956,0.0,0.0,12.0,12.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0
ram_dual,4.388,2.763,1.626,2.19,0.137,0.162,0.0,1.988,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,4.592,2.827,1.765,2.163,0.137,0.145,0.0,1.984,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_port_ram,4.387,2.809,1.578,2.067,0.137,0.098,0.0,1.956,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
