DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
bcd_to_gray,4.919,3.228,1.691,0.489,0.132,0.006,0.0,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behav_counter,4.427,2.777,1.651,3.225,0.141,0.105,0.049,3.061,3.365,0.0,0.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0
binary_adder_tree,8.731,1.777,6.953,17.74,0.24,2.005,0.367,15.235,17.98,0.0,0.0,48.0,48.0,0.0,32.0,15.0,14.0,0.0,1.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
fibonacci_gen,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fsm_1100,4.143,2.764,1.379,0.283,0.132,0.02,0.015,0.241,0.415,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_counter,4.373,2.871,1.502,2.734,0.139,0.063,0.04,2.623,2.873,0.0,0.0,7.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
param_divider,22.27,9.539,12.731,16.372,0.225,1.419,1.241,13.477,16.597,0.0,0.0,145.0,145.0,0.0,25.0,98.0,16.0,8.0,11.0,0.0
param_shift_reg,4.407,2.861,1.546,3.378,0.141,0.13,0.028,3.207,3.519,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_dual,4.367,2.75,1.617,2.162,0.137,0.136,0.0,1.98,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,6.633,3.567,3.066,2.125,0.137,0.111,0.0,1.976,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_separate_io,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.418,3.577,2.842,2.032,0.137,0.042,0.022,1.968,2.169,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
shift_8x64_taps,4.339,2.74,1.598,22.322,0.304,0.978,0.382,20.88,22.625,0.0,0.0,32.0,32.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0
single_port_ram,4.453,2.752,1.701,1.986,0.137,0.06,0.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ternary_adder_tree,6.211,1.908,4.303,14.838,0.21,0.87,0.112,13.758,15.048,0.0,0.0,30.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,10.257,3.595,6.663,13.89,0.202,2.256,1.852,9.643,14.092,60.0,0.0,464.0,464.0,0.0,0.0,13.0,0.0,246.0,228.0,0.0
