DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
bcd_to_gray,6.199,3.525,2.674,1.537,0.135,0.029,0.007,1.5,1.672,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_adder,7.136,4.231,2.906,5.313,0.149,0.129,0.021,5.154,5.461,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.165,3.811,3.354,1.112,0.134,0.082,0.067,0.96,1.246,0.0,0.0,12.0,12.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0
param_multiplier,11.216,5.345,5.871,12.436,0.19,0.607,0.437,11.346,12.626,0.0,0.0,70.0,70.0,0.0,25.0,3.0,21.0,3.0,37.0,0.0
param_shift_reg,4.407,2.861,1.546,3.378,0.141,0.13,0.028,3.207,3.519,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.288,4.127,3.161,5.823,0.151,0.143,0.021,5.647,5.974,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
shift_8x64_taps,4.634,2.75,1.884,3.765,0.143,0.133,0.016,3.599,3.908,0.0,2.0,6.0,8.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0
single_port_ram,6.527,3.408,3.119,2.077,0.137,0.099,0.0,1.96,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
