DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
alu_4bit,8.552,4.133,4.419,2.789,0.139,0.116,0.065,2.607,2.929,2.0,0.0,13.0,13.0,0.0,2.0,1.0,3.0,1.0,9.0,0.0
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
binary_adder_tree,9.003,1.696,7.306,18.505,0.249,2.47,0.411,15.392,18.754,0.0,0.0,80.0,80.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
mod_demod,4.683,2.77,1.913,7.917,0.161,0.212,0.022,7.668,8.078,0.0,0.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
param_adder,7.136,4.231,2.906,5.313,0.149,0.129,0.021,5.154,5.461,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.165,3.811,3.354,1.112,0.134,0.082,0.067,0.96,1.246,0.0,0.0,12.0,12.0,0.0,0.0,0.0,18.0,1.0,1.0,0.0
param_counter,4.429,2.859,1.57,4.013,0.144,0.103,0.099,3.8,4.157,0.0,0.0,8.0,8.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0
param_divider,21.417,10.591,10.826,7.202,0.157,0.648,0.589,5.853,7.359,0.0,0.0,72.0,72.0,0.0,27.0,53.0,3.0,3.0,2.0,0.0
param_multiplier,10.118,6.528,3.59,12.995,0.194,0.292,0.0,11.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
param_shift_reg,4.407,2.861,1.546,3.378,0.141,0.13,0.028,3.207,3.519,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_dual,4.388,2.763,1.626,2.19,0.137,0.162,0.0,1.988,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,6.673,3.391,3.282,2.157,0.137,0.142,0.0,1.984,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.374,3.587,2.787,2.325,0.138,0.044,0.021,2.259,2.462,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
single_port_ram,6.527,3.408,3.119,2.077,0.137,0.099,0.0,1.96,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ternary_adder_tree,9.209,1.693,7.515,18.064,0.244,2.313,0.309,15.273,18.308,0.0,0.0,64.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,11.889,1.598,10.29,19.692,0.265,4.876,3.959,10.518,19.956,128.0,0.0,936.0,936.0,0.0,0.0,0.0,0.0,8.0,928.0,0.0
