DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
alu_4bit,6.293,3.565,2.729,0.869,0.133,0.019,0.008,0.843,1.003,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
bcd_to_gray,6.293,3.565,2.729,0.869,0.133,0.019,0.008,0.843,1.003,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
digital_filter,4.287,2.755,1.532,4.397,0.145,0.112,0.003,4.266,4.542,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fft_module,6.293,3.565,2.729,0.869,0.133,0.019,0.008,0.843,1.003,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
fibonacci_gen,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_counter,4.417,2.859,1.558,2.749,0.139,0.074,0.047,2.62,2.888,0.0,0.0,7.0,7.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0
param_multiplier,10.568,4.884,5.684,12.15,0.188,0.339,0.186,11.601,12.338,0.0,0.0,33.0,33.0,0.0,12.0,2.0,7.0,2.0,16.0,0.0
param_shift_reg,4.407,2.861,1.546,3.378,0.141,0.13,0.028,3.207,3.519,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
ram_infer,6.633,3.567,3.066,2.125,0.137,0.111,0.0,1.976,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_separate_io,8.043,3.798,4.245,3.6,0.142,0.228,0.0,3.304,0.0,16.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,8.043,3.798,4.245,3.6,0.142,0.228,0.0,3.304,0.0,16.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.419,3.585,2.834,2.498,0.138,0.042,0.017,2.439,2.637,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
single_port_ram,6.527,3.408,3.119,2.077,0.137,0.099,0.0,1.96,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
