DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
alu_4bit,7.688,3.62,4.068,3.407,0.141,0.138,0.076,3.191,3.549,2.0,0.0,16.0,16.0,0.0,0.0,0.0,4.0,4.0,9.0,0.0
bcd_to_gray,4.919,3.228,1.691,0.489,0.132,0.006,0.0,0.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behav_counter,4.427,2.777,1.651,3.225,0.141,0.105,0.049,3.061,3.365,0.0,0.0,11.0,11.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0
binary_adder_tree,8.769,1.634,7.135,18.24,0.246,2.445,0.332,15.281,18.486,0.0,0.0,64.0,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
fft_module,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fibonacci_gen,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fsm_1100,4.143,2.764,1.379,0.046,0.122,0.017,0.013,0.008,0.168,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
full_adder,5.896,3.56,2.337,0.9,0.133,0.019,0.005,0.877,1.034,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gray_count,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
param_comparator,7.822,3.844,3.978,1.102,0.134,0.082,0.051,0.967,1.235,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,1.0,3.0,0.0
param_counter,4.373,2.871,1.502,2.734,0.139,0.063,0.04,2.623,2.873,0.0,0.0,7.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0
param_divider,38.868,17.065,21.803,21.43,0.289,3.001,2.63,15.264,21.719,0.0,0.0,287.0,287.0,0.0,38.0,224.0,10.0,17.0,8.0,0.0
param_shift_reg,4.394,2.721,1.674,3.052,0.14,0.116,0.025,2.899,3.192,0.0,0.0,4.0,4.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_dual,4.383,2.749,1.634,1.193,0.134,0.125,0.0,1.03,0.0,0.0,6.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,6.633,3.567,3.066,2.125,0.137,0.111,0.0,1.976,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_separate_io,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_simple,6.49,4.485,2.005,7.965,0.161,0.21,0.0,7.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rom_simple,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.28,3.587,2.693,1.599,0.135,0.026,0.007,1.567,1.735,0.0,0.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
shift_8x64_taps,4.339,2.74,1.598,22.322,0.304,0.978,0.382,20.88,22.625,0.0,0.0,32.0,32.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0
single_port_ram,4.453,2.752,1.701,1.986,0.137,0.06,0.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ternary_adder_tree,4.41,2.739,1.671,5.964,0.152,0.213,0.008,5.714,6.115,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
true_dpram_sclk,10.257,3.595,6.663,13.89,0.202,2.256,1.852,9.643,14.092,60.0,0.0,464.0,464.0,0.0,0.0,13.0,0.0,246.0,228.0,0.0
