DesignName,DatapathDelay,logic_delay,routing_delay,DynamicPower,static_power,signal_power,logic_power,i_o_power,total_power,f7_muxes,lut_as_memory,lut_as_logic,slice_lut,lut1,lut2,lut3,lut4,lut5,lut6,lut7
behav_counter,4.395,2.869,1.526,4.811,0.147,0.137,0.067,4.596,4.958,0.0,0.0,9.0,9.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0
binary_adder_tree,8.667,1.696,6.97,18.475,0.249,2.781,0.356,15.201,18.723,0.0,0.0,48.0,48.0,0.0,32.0,15.0,14.0,0.0,1.0,0.0
counter,4.328,2.889,1.439,3.909,0.143,0.081,0.066,3.752,4.053,0.0,0.0,6.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0
gray_count,4.395,2.873,1.521,3.631,0.142,0.06,0.03,3.531,3.774,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
half_adder,5.897,3.524,2.373,0.663,0.133,0.013,0.003,0.646,0.795,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
mod_demod,4.627,2.761,1.866,16.082,0.222,0.452,0.088,15.505,16.304,0.0,0.0,32.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
param_comparator,4.386,2.712,1.674,0.408,0.132,0.09,0.078,0.237,0.54,0.0,0.0,15.0,15.0,0.0,0.0,2.0,18.0,1.0,2.0,0.0
param_counter,4.429,2.859,1.57,4.013,0.144,0.103,0.099,3.8,4.157,0.0,0.0,8.0,8.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0
param_divider,21.849,10.372,11.477,7.235,0.158,0.689,0.562,5.872,7.392,0.0,0.0,78.0,78.0,0.0,14.0,51.0,5.0,10.0,5.0,0.0
param_shift_reg,4.407,2.861,1.546,3.378,0.141,0.13,0.028,3.207,3.519,0.0,0.0,4.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
param_subtractor,7.384,4.22,3.164,5.82,0.151,0.142,0.02,5.647,5.971,0.0,0.0,8.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
ram_dual,4.388,2.763,1.626,2.19,0.137,0.162,0.0,1.988,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram_infer,4.303,2.757,1.546,2.003,0.137,0.059,0.0,1.936,2.14,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
seven_seg_display,6.415,3.577,2.838,2.45,0.138,0.049,0.023,2.377,2.588,0.0,0.0,4.0,4.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
shift_8x64_taps,4.466,1.025,3.441,2.163,0.137,0.129,0.022,1.999,2.301,0.0,0.0,16.0,16.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
single_port_ram,4.516,2.809,1.706,2.083,0.137,0.102,0.0,1.96,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ternary_adder_tree,9.631,1.941,7.69,17.582,0.238,1.963,0.347,15.161,17.821,0.0,0.0,32.0,32.0,0.0,0.0,30.0,28.0,0.0,2.0,0.0
true_dpram_sclk,12.437,3.879,8.558,19.421,0.261,4.681,3.897,10.519,19.682,128.0,0.0,936.0,936.0,0.0,0.0,0.0,0.0,8.0,928.0,0.0
uart_module,0.0,0.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
